,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Shot Creating Action,SCA_p90,Shots Shots Liveball Pass,Shots from Deadball Pass,Shots from Take-Ons,Shots from Shots,Shots from Fouls,Shots from Defense,Goal Creating Action,GCA_p90,Goals from Liveball Pass,Goals from Deadball Pass,Goals from Take-Ons,Goals from Shots,Goals from Fouls,Goals from Defense,Pass Completed,Pass Attempted,Pass Comp%,Total Pass Dist,Prog Pass Dist,Short Comp,Short Attempt,Short Comp%,Med Comp,Med Attempt,Med Comp%,Long Comp,Long Attempt,Long Comp%,Expected Assisted Goal xAG,Expected xA,A-xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
10,11,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-227,2000,6,5,413,4.6,0,0,0,0,0,1,0,0,3.0,2.3,0.1,2.4,7,6,34,0.00,0.00,0.00,0.00,0.00,0.66,0.02,0.69,0.49,0.51,6,1.31,3,0,1,1,1,0,1,0.22,1,0,0,0,0,0,50,76,65.8,623,168,34,44,77.3,14,23,60.9,0,3,0.0,0.1,0.4,-0.1,1,2,1,0,6
11,12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-206,1999,8,8,612,6.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.1,6,19,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,4,0.59,2,0,0,0,1,1,1,0.15,0,0,0,0,1,0,134,202,66.3,3119,1260,38,45,84.4,73,85,85.9,23,65,35.4,0.0,0.1,0.0,1,13,0,0,19
12,13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-000,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0.0,0.0,0.0,0,1,0,0,1
13,14,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-000,1997,4,3,257,2.9,1,1,2,0,1,1,0,0,1.8,1.0,0.3,1.3,0,3,17,0.35,0.35,0.70,0.00,0.35,0.64,0.09,0.73,0.36,0.45,8,2.80,3,0,0,4,1,0,3,1.05,1,0,0,1,1,0,26,35,74.3,351,63,15,21,71.4,9,11,81.8,1,2,50.0,0.3,0.2,+0.7,2,1,2,0,3
14,15,Federico Accornero,it ITA,MF,Genoa,it Serie A,20-240,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0
15,16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-235,1988,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,16,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,348,366,95.1,6500,1867,114,121,94.2,206,210,98.1,23,27,85.2,0.0,0.1,0.0,0,14,1,0,16
16,17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24-247,2000,6,5,461,5.1,3,1,4,3,0,0,1,0,2.6,2.6,0.6,3.2,2,3,21,0.59,0.20,0.78,0.59,0.78,0.51,0.11,0.62,0.51,0.62,10,1.95,7,0,2,0,1,0,3,0.58,1,0,1,0,1,0,39,68,57.4,539,86,23,33,69.7,12,21,57.1,1,4,25.0,0.6,0.1,+0.4,6,2,0,0,3
17,18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,28-081,1996,6,3,355,3.9,3,1,4,3,0,0,0,0,1.5,1.5,0.7,2.2,3,4,20,0.76,0.25,1.01,0.76,1.01,0.38,0.18,0.56,0.38,0.56,12,3.04,9,0,0,1,2,0,1,0.25,1,0,0,0,0,0,64,93,68.8,1011,160,34,43,79.1,22,30,73.3,4,8,50.0,0.7,0.3,+0.3,5,5,1,0,4
18,19,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-118,2001,5,5,408,4.5,2,1,3,2,0,0,2,0,2.1,2.1,1.1,3.3,3,2,20,0.44,0.22,0.66,0.44,0.66,0.47,0.25,0.72,0.47,0.72,12,2.65,8,0,1,2,1,0,3,0.66,2,0,0,1,0,0,57,93,61.3,678,38,30,45,66.7,15,25,60.0,1,2,50.0,1.1,1.2,-0.1,8,1,1,0,2
19,20,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-008,1997,2,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,2,1.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,87,97,89.7,1491,610,32,33,97.0,52,53,98.1,2,8,25.0,0.0,0.0,0.0,1,0,0,0,2
20,21,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20-305,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0.0,0.0,0.0,0,1,0,0,0
21,22,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22-258,2002,5,4,305,3.4,2,3,5,2,0,0,0,0,0.7,0.7,1.7,2.4,12,3,29,0.59,0.89,1.48,0.59,1.48,0.22,0.49,0.71,0.22,0.71,13,3.84,8,0,2,2,1,0,3,0.89,3,0,0,0,0,0,60,82,73.2,816,94,32,42,76.2,22,26,84.6,0,0,,1.7,0.6,+1.3,9,0,3,0,3
22,23,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22-275,2002,5,1,137,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,5,2,35,0.66,0.66,1.31,0.66,1.31,0.22,0.31,0.53,0.22,0.53,6,3.94,5,0,0,1,0,0,2,1.31,2,0,0,0,0,0,42,67,62.7,507,77,33,41,80.5,8,16,50.0,1,4,25.0,0.5,0.6,+0.5,2,1,0,0,2
23,24,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24-145,2000,5,1,128,1.4,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,6,3,15,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.29,0.28,0.29,4,2.81,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,45,62,72.6,565,69,29,37,78.4,12,15,80.0,2,7,28.6,0.0,0.4,0.0,1,1,1,0,3
24,25,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-065,2000,4,0,67,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,4,5,1,0.00,1.34,1.34,0.00,1.34,0.00,0.24,0.24,0.00,0.24,4,5.37,1,2,1,0,0,0,2,2.69,0,1,1,0,0,0,49,69,71.0,1098,343,16,20,80.0,22,30,73.3,11,17,64.7,0.2,0.1,+0.8,2,6,1,0,5
25,26,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26-193,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,,0.0,0.0,0.0,0,0,0,0,1
26,27,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27-270,1997,6,4,333,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,4,18,8,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.11,0.04,0.11,8,2.16,6,1,0,0,0,1,0,0.00,0,0,0,0,0,0,158,184,85.9,2821,687,72,79,91.1,69,77,89.6,16,19,84.2,0.2,0.3,-0.2,5,17,2,0,18
27,28,Oladapo Afolayan,eng ENG,FW,St. Pauli,de Bundesliga,26-233,1998,5,2,278,3.1,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.0,8,6,21,0.32,0.00,0.32,0.32,0.32,0.22,0.12,0.34,0.22,0.34,9,2.91,3,0,3,2,1,0,0,0.00,0,0,0,0,0,0,42,65,64.6,797,169,21,28,75.0,11,20,55.0,9,11,81.8,0.4,0.1,-0.4,3,6,2,1,6
28,29,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-107,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,4,26,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,4,0.67,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,320,365,87.7,6170,2672,132,141,93.6,151,160,94.4,36,62,58.1,0.1,0.2,-0.1,1,18,1,0,26
29,30,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23-281,2000,6,6,486,5.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.19,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,103,155,66.5,2905,2199,18,18,100.0,56,56,100.0,29,79,36.7,0.0,0.0,0.0,0,1,0,0,0
30,31,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22-236,2002,8,5,465,5.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,7,24,7,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,11,2.13,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,251,303,82.8,3822,1006,135,152,88.8,89,101,88.1,17,29,58.6,0.2,0.2,-0.2,5,19,2,0,24
31,32,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-005,1999,5,5,422,4.7,1,0,1,1,0,0,0,0,0.1,0.1,0.4,0.5,9,10,40,0.21,0.00,0.21,0.21,0.21,0.01,0.09,0.11,0.01,0.11,12,2.56,10,0,1,0,1,0,1,0.21,1,0,0,0,0,0,155,186,83.3,2713,853,70,80,87.5,70,80,87.5,13,17,76.5,0.4,0.8,-0.4,7,4,11,7,10
32,33,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28-154,1996,7,2,228,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,19,2,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,9,3.55,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,99,125,79.2,1897,573,28,37,75.7,59,66,89.4,10,17,58.8,0.0,0.1,0.0,2,14,5,3,19
33,34,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28-186,1996,4,4,334,3.7,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,5,15,0,0.00,0.00,0.00,0.00,0.00,0.22,0.01,0.22,0.22,0.22,3,0.81,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,253,277,91.3,4671,1559,111,116,95.7,118,124,95.2,24,33,72.7,0.0,0.1,0.0,1,22,1,0,15
34,35,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31-159,1993,4,3,257,2.9,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.8,2,10,27,0.00,0.35,0.35,0.00,0.35,0.05,0.24,0.29,0.05,0.29,7,2.45,7,0,0,0,0,0,1,0.35,1,0,0,0,0,0,150,187,80.2,2037,795,93,103,90.3,39,55,70.9,8,11,72.7,0.7,0.5,+0.3,2,7,3,0,10
35,36,Honest Ahanor,it ITA,DF,Genoa,it Serie A,16-222,2008,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1.32,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,8,11,72.7,158,41,3,4,75.0,5,5,100.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,2
36,37,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30-196,1994,5,5,373,4.1,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,6,18,5,0.00,0.00,0.00,0.00,0.00,0.13,0.02,0.15,0.13,0.15,11,2.65,8,0,1,0,2,0,0,0.00,0,0,0,0,0,0,171,189,90.5,2793,697,80,87,92.0,84,89,94.4,4,6,66.7,0.1,0.1,-0.1,3,10,1,0,18
37,38,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-003,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6,7,85.7,126,81,1,1,100.0,5,5,100.0,0,0,,0.0,0.0,0.0,0,0,0,0,1
38,39,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-099,2005,3,1,87,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,6,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,10,17,58.8,143,71,7,10,70.0,2,4,50.0,1,2,50.0,0.0,0.0,0.0,0,1,1,0,4
39,40,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27-360,1996,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,14,25,8,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.05,11,1.97,9,1,1,0,0,0,0,0.00,0,0,0,0,0,0,198,262,75.6,3117,1476,104,119,87.4,76,105,72.4,12,26,46.2,0.3,0.5,-0.3,3,18,3,2,25
40,41,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,23-118,2001,6,6,473,5.3,1,1,2,1,0,0,3,0,0.9,0.9,0.7,1.6,12,21,16,0.19,0.19,0.38,0.19,0.38,0.18,0.13,0.31,0.18,0.31,12,2.28,7,1,2,2,0,0,2,0.38,1,1,0,0,0,0,200,233,85.8,2739,707,121,127,95.3,72,84,85.7,2,10,20.0,0.7,0.3,+0.3,5,13,3,0,21
41,42,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26-168,1998,6,6,457,5.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,10,17,10,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,5,0.98,5,0,0,0,0,0,2,0.39,2,0,0,0,0,0,170,220,77.3,2721,995,86,98,87.8,68,87,78.2,11,20,55.0,0.2,0.1,-0.2,2,14,2,2,17
42,43,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30-220,1994,6,5,401,4.5,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1.0,1,4,20,0.22,0.00,0.22,0.22,0.22,0.18,0.06,0.24,0.18,0.24,10,2.24,8,0,0,0,2,0,1,0.22,0,0,0,0,1,0,82,119,68.9,1093,161,52,68,76.5,24,35,68.6,2,3,66.7,0.3,0.2,-0.3,5,6,2,0,4
43,44,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-075,1995,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,12,54,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,16,2.67,16,0,0,0,0,0,1,0.17,1,0,0,0,0,0,515,546,94.3,8428,2075,251,262,95.8,233,243,95.9,26,32,81.3,0.2,0.7,-0.2,5,62,8,2,54
44,45,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20-362,2003,1,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,39,61,63.9,697,310,16,28,57.1,21,25,84.0,2,5,40.0,0.0,0.0,0.0,0,4,0,0,9
45,46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29-227,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6,7,85.7,78,13,5,5,100.0,1,1,100.0,0,0,,0.0,0.0,0.0,0,0,0,0,1
46,47,Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,20-169,2004,7,4,367,4.1,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,18,6,41,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.22,0.07,0.22,19,4.51,12,0,3,1,3,0,1,0.24,0,0,0,0,1,0,78,107,72.9,1349,319,42,47,89.4,28,39,71.8,6,10,60.0,0.6,1.1,-0.6,6,3,3,2,6
47,48,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26-291,1997,4,4,360,4.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,10,8,7,0.25,0.00,0.25,0.25,0.25,0.04,0.01,0.05,0.04,0.05,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,86,117,73.5,1170,367,55,60,91.7,27,36,75.0,2,15,13.3,0.0,0.0,0.0,1,4,0,0,8
48,49,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22-220,2002,6,4,380,4.2,0,1,1,0,0,0,0,0,1.0,1.0,0.8,1.8,17,29,32,0.00,0.24,0.24,0.00,0.24,0.23,0.18,0.42,0.23,0.42,17,4.03,12,1,2,1,1,0,1,0.24,1,0,0,0,0,0,159,194,82.0,2233,693,95,104,91.3,48,62,77.4,7,8,87.5,0.8,1.2,+0.2,7,10,8,0,29
49,50,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22-313,2001,5,4,341,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,14,22,23,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,10,2.64,9,1,0,0,0,0,1,0.26,1,0,0,0,0,0,156,203,76.8,2758,1148,65,78,83.3,72,87,82.8,14,28,50.0,0.3,0.4,-0.3,6,12,7,4,22
50,51,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,22-231,2002,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,4,100.0,45,25,3,3,100.0,1,1,100.0,0,0,,0.0,0.0,0.0,0,0,1,0,1
51,52,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29-166,1995,5,5,450,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,26,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,8,1.60,8,0,0,0,0,0,1,0.20,1,0,0,0,0,0,261,294,88.8,4872,1898,100,102,98.0,134,148,90.5,23,34,67.6,0.0,0.1,0.0,1,36,0,0,26
52,53,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34-193,1990,3,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,4,0.00,0.00,0.00,0.00,0.00,0.36,0.37,0.73,0.36,0.73,2,7.83,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6,14,42.9,92,18,4,8,50.0,1,3,33.3,1,1,100.0,0.1,0.0,-0.1,2,0,0,0,1
53,54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-028,1985,6,5,401,4.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,1,0.22,1,0,0,0,0,0,1,0.22,1,0,0,0,0,0,213,240,88.8,4416,1696,61,63,96.8,124,132,93.9,26,42,61.9,0.0,0.0,0.0,0,8,0,0,4
54,55,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21-307,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0.1,0.0,-0.1,1,4,1,1,6
55,56,Omar Alderete,py PAR,DF,Getafe,es La Liga,27-281,1996,7,7,630,7.0,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,7,31,0,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,10,1.43,6,1,0,2,0,1,1,0.14,0,0,0,1,0,0,149,243,61.3,3552,2060,44,60,73.3,69,95,72.6,34,77,44.2,0.6,0.2,-0.6,4,36,2,0,31
56,57,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26-271,1998,6,3,305,3.4,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,2,8,7,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,3,0.89,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,65,81,80.2,1050,220,33,36,91.7,22,28,78.6,6,10,60.0,0.0,0.1,0.0,1,8,1,0,8
